City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Jalu,LY,2021-04-25 18:34:22,29.0331,21.5482,69.57,50,0,17.65,clear sky
200,Chapada Dos Guimaraes,BR,2021-04-25 18:38:25,-15.4606,-55.7497,77.0,78,75,2.3,light rain
201,Moose Factory,CA,2021-04-25 18:38:25,51.2585,-80.6094,28.4,64,40,17.27,scattered clouds
202,Bonavista,CA,2021-04-25 18:38:26,48.6499,-53.1147,51.8,43,66,10.36,broken clouds
203,Bathsheba,BB,2021-04-25 18:35:30,13.2167,-59.5167,86.0,48,20,19.57,few clouds
204,Chokurdakh,RU,2021-04-25 18:38:26,70.6333,147.9167,18.81,94,100,14.16,light snow
205,Lipin Bor,RU,2021-04-25 18:38:27,60.2622,37.9763,39.99,95,100,2.57,moderate rain
206,Baykit,RU,2021-04-25 18:38:27,61.67,96.37,31.03,87,85,6.55,overcast clouds
207,Kintinku,TZ,2021-04-25 18:36:12,-5.8833,35.2333,71.6,83,75,9.22,light rain
208,Ust-Ishim,RU,2021-04-25 18:38:28,57.6935,71.1665,46.24,53,100,9.71,overcast clouds
209,Bogotol,RU,2021-04-25 18:38:28,56.2078,89.5342,34.38,98,100,6.67,overcast clouds
210,Ust-Nera,RU,2021-04-25 18:38:28,64.5667,143.2,2.1,98,98,3.2,overcast clouds
211,Puerto Escondido,MX,2021-04-25 18:38:29,15.85,-97.0667,86.0,79,20,6.91,few clouds
212,Nome,US,2021-04-25 18:37:39,64.5011,-165.4064,37.99,75,40,4.7,scattered clouds
213,Dzilam Gonzalez,MX,2021-04-25 18:38:30,21.2833,-88.9333,95.18,38,61,7.85,broken clouds
214,Riyadh,SA,2021-04-25 18:37:10,24.6877,46.7219,86.0,20,0,2.3,clear sky
215,Oistins,BB,2021-04-25 18:36:01,13.0667,-59.5333,86.0,48,20,19.57,few clouds
216,Katrineholm,SE,2021-04-25 18:38:30,58.9959,16.2072,34.0,93,75,3.44,light snow
217,Tura,IN,2021-04-25 18:38:31,25.5198,90.2201,77.47,31,1,4.68,clear sky
218,Sagua La Grande,CU,2021-04-25 18:38:31,22.8067,-80.0756,95.0,24,40,6.91,scattered clouds
219,Uchkent,RU,2021-04-25 18:38:31,43.1143,47.0826,55.4,76,20,6.71,few clouds
220,Kamskiye Polyany,RU,2021-04-25 18:38:32,55.4307,51.4171,37.4,81,40,17.9,scattered clouds
221,Lerwick,GB,2021-04-25 18:36:19,60.1545,-1.1494,44.6,87,0,9.22,clear sky
222,Burnie,AU,2021-04-25 18:38:33,-41.0667,145.9167,52.0,81,85,8.01,overcast clouds
223,Valera,VE,2021-04-25 18:38:33,9.3178,-70.6036,84.31,67,98,2.48,overcast clouds
224,Zhicheng,CN,2021-04-25 18:38:33,30.2956,111.5047,57.99,87,100,1.45,light rain
225,Mount Isa,AU,2021-04-25 18:38:34,-20.7333,139.5,73.4,56,0,3.44,light rain
226,Agua Dulce,MX,2021-04-25 18:38:34,18.1333,-94.1333,86.0,70,75,11.5,broken clouds
227,Probolinggo,ID,2021-04-25 18:38:34,-7.7543,113.2159,80.6,83,20,8.05,haze
228,Vila Velha,BR,2021-04-25 18:37:03,-20.3297,-40.2925,84.2,70,20,13.8,few clouds
229,Lorengau,PG,2021-04-25 18:38:35,-2.0226,147.2712,79.29,83,51,7.47,broken clouds
230,Deputatskiy,RU,2021-04-25 18:36:40,69.3,139.9,16.18,93,100,5.37,overcast clouds
231,Cedar City,US,2021-04-25 18:36:10,37.6775,-113.0619,66.2,15,1,33.38,clear sky
232,Banda Aceh,ID,2021-04-25 18:37:16,5.5577,95.3222,79.74,78,79,7.52,broken clouds
233,Krasnyy Chikoy,RU,2021-04-25 18:38:36,50.3643,108.7512,33.6,97,100,8.7,snow
234,Helong,CN,2021-04-25 18:38:36,42.5397,128.9972,37.76,49,8,4.12,clear sky
235,Kasongo-Lunda,CD,2021-04-25 18:38:37,-6.4667,16.8167,75.83,83,84,2.1,broken clouds
236,Pauini,BR,2021-04-25 18:38:37,-7.7136,-66.9764,90.72,55,99,2.1,overcast clouds
237,Santa Isabel Do Rio Negro,BR,2021-04-25 18:34:22,-0.4139,-65.0192,84.13,84,98,3.29,overcast clouds
238,Raca,RS,2021-04-25 18:38:38,44.2271,20.9775,62.6,31,0,5.75,clear sky
239,Kangaatsiaq,GL,2021-04-25 18:38:38,68.3065,-53.4641,35.24,74,14,1.86,few clouds
240,Geraldton,AU,2021-04-25 18:35:47,-28.7667,114.6,60.8,82,1,4.61,clear sky
241,Korla,CN,2021-04-25 18:38:39,41.7597,86.1469,50.9,25,11,7.11,few clouds
242,Norman Wells,CA,2021-04-25 18:38:39,65.282,-126.8329,33.8,51,20,21.85,few clouds
243,Yashkul,RU,2021-04-25 18:38:40,46.1711,45.3435,48.92,70,100,5.53,light rain
244,Sovetskiy,RU,2021-04-25 18:38:40,61.3614,63.5842,46.24,48,100,12.64,overcast clouds
245,Bara,NG,2021-04-25 18:38:40,10.3744,10.7288,96.8,38,20,8.99,few clouds
